question_id,genre_id,question,option1,option2,option3,option4,answer,explanation
243,3,"“그녀는 운동을 하다가 말고 스트레칭을 했다”에서 올바른 맞춤법은?","하다 말고","하다가 말고","하며 말고","한 후 말고","하다가 말고","운동을 하던 중에 멈추고 스트레칭을 했으므로 ‘하다가 말고’가 맞다."
244,3,"“그는 길을 가다가 말고 커피를 샀다”에서 올바른 맞춤법은?","가다 말고","가다가 말고","가며 말고","간 후 말고","가다가 말고","길을 가던 중에 멈추고 커피를 샀으므로 ‘가다가 말고’가 맞다."
245,3,"“나는 편지를 읽다가 말고 생각에 잠겼다”에서 올바른 맞춤법은?","읽다 말고","읽으며 말고","읽다가 말고","읽은 후 말고","읽다가 말고","편지를 읽던 중에 멈추고 생각에 잠겼으므로 ‘읽다가 말고’가 맞다."
246,3,"“그녀는 춤을 추다가 말고 갑자기 멈췄다”에서 올바른 맞춤법은?","추다 말고","추다가 말고","추며 말고","춘 후 말고","추다가 말고","춤을 추던 중에 멈추었으므로 ‘추다가 말고’가 맞다."
247,3,"“나는 보고서를 쓰다가 말고 전화 통화를 했다”에서 올바른 맞춤법은?","쓰다 말고","쓰다가 말고","쓰며 말고","쓴 후 말고","쓰다가 말고","보고서를 쓰던 중에 멈추고 전화 통화를 했으므로 ‘쓰다가 말고’가 맞다."
248,3,"“그는 노래를 듣다가 말고 친구에게 전화를 걸었다”에서 올바른 맞춤법은?","듣다 말고","듣다가 말고","듣으며 말고","들은 후 말고","듣다가 말고","노래를 듣던 중에 멈추고 전화를 걸었으므로 ‘듣다가 말고’가 맞다."
249,3,"“그녀는 수업을 듣다가 말고 필기를 시작했다”에서 올바른 맞춤법은?","듣다 말고","듣다가 말고","듣으며 말고","들은 후 말고","듣다가 말고","수업을 듣던 중에 멈추고 필기를 시작했으므로 ‘듣다가 말고’가 맞다."
250,3,"“나는 사진을 찍다가 말고 동영상을 촬영했다”에서 올바른 맞춤법은?","찍다 말고","찍다가 말고","찍으며 말고","찍은 후 말고","찍다가 말고","사진을 찍던 중에 멈추고 동영상을 촬영했으므로 ‘찍다가 말고’가 맞다."
301,4,"눈앞의 이익에만 급급하여 장기적인 계획을 세우지 못하는 사람을 의미하는 사자성어는?",초록불,일석이조,단기지계,당랑거철,단기지계,"단기지계는 "단기적이고 미비한 계획"을 의미하며, 장기적인 비전을 갖지 못한 사람을 지칭하는 사자성어입니다."
302,4,"눈치가 빠르고 상황에 맞게 처세하는 능력이 뛰어난 사람을 의미하는 사자성어는?",인생무상,회자정리,화룡점정,사필귀정,회자정리,"회자정리는 "말이 돌아오는 것처럼, 상황에 맞게 처세하는 것"을 의미하는 사자성어입니다."
303,4,"철저하게 준비하여 성공할 수 있는 기회를 얻기 위한 준비를 잘 마친 상태를 의미하는 사자성어는?",여유만만,호시탐탐,금상첨화,불철주야,호시탐탐,"호시탐탐은 "기회를 노리고 있는 상태"를 의미합니다."
304,4,"비상한 상황에 대비해 늘 준비해 놓은 상태를 의미하는 사자성어는?",각골난망,"준비된 기회",지피지기,대기만성,대기만성,"대기만성은 "긴 시간을 기다려 결국 성공한다"는 의미입니다."
305,4,"누구든지 출발할 때는 어려운 일도 시간이 지나면 해결된다는 의미를 담고 있는 사자성어는?","조급하면 실패한다",대기만성,"천리길도 한 걸음부터","사람이 먼저다",대기만성,"대기만성은 "긴 시간을 기다려 결국 성공한다"는 의미입니다."
306,4,"상대방의 약점을 공격하는 전술을 의미하는 사자성어는?","계란으로 바위치기",소탐대실,사상누각,우공이산,"계란으로 바위치기","계란으로 바위치기는 "약한 것이 강한 것에 대항하는 것"을 의미하는 사자성어입니다."
307,4,"사람이 말하는 것과 행동이 일치하지 않음을 뜻하는 사자성어는?",언행불일치,좌불안석,유유자적,허심탄회,언행불일치,"언행불일치는 "말과 행동이 일치하지 않는 상태"를 의미합니다."
308,4,"자신의 장점을 과시하며 자랑하는 것을 의미하는 사자성어는?","몽땅 바치다",이심전심,자화자찬,내로남불,자화자찬,"자화자찬은 "자신의 장점을 과시하는 것"을 의미합니다."
309,4,"그 사람의 성격이나 특징이 그 사람의 모습을 그대로 보여주는 사자성어는?","눈에 띄는 변화",기기묘묘,"이해하기 어렵다",언행불일치,언행불일치,"언행불일치는 "말과 행동이 일치하지 않는 상태"를 의미합니다."
310,4,"상황을 잘 파악하고 빠르게 대응하는 능력을 의미하는 사자성어는?",호시탐탐,순망치한,구사일생,죽마고우,호시탐탐,"호시탐탐은 "기회를 노리고 있는 상태"를 의미합니다."
311,4,"비슷한 두 가지를 구별하기 어려운 상태를 뜻하는 사자성어는?",동문서답,구사일생,막상막하,죽마고우,막상막하,"막상막하는 "차이가 없어 쉽게 구별하기 어려운 상태"를 의미합니다."
312,4,"모든 일이 잘 되어 가는 상태를 뜻하는 사자성어는?",일사천리,"천리길도 한 걸음부터",천리길,화룡점정,일사천리,"일사천리는 "모든 일이 잘 되어 가는 상태"를 의미합니다."
313,4,"말이 안 되거나 현실성이 없는 꿈을 꾼다는 의미를 담고 있는 사자성어는?",공중누각,미사여구,목표달성,호시탐탐,공중누각,"공중누각은 "실현 불가능한 계획"을 의미하는 사자성어입니다."
314,4,"스스로 생각해보지 않으면 쉽게 알 수 없는 것을 의미하는 사자성어는?","자기 합리화","궁지에 몰리다","궁지에 몰리다",자기합리화,"궁지에 몰리다","궁지에 몰리다는 "스스로 어려운 상황에 빠진 상태"를 의미합니다."
315,4,"모두가 동일한 목표를 향해 나아간다는 의미의 사자성어는?",동문서답,대기만성,군말없다,목표달성,군말없다,"군말없다는 "목표에 대해 논의 없이 바로 행동하는 상태"를 의미합니다."
316,4,"그 사람의 성격이 드러나는 모습을 뜻하는 사자성어는?",언행불일치,"사람이 먼저다","이해하기 어렵다",허심탄회,언행불일치,"언행불일치는 "말과 행동이 일치하지 않는 상태"를 의미합니다."
317,4,"자기 앞가림을 잘 하고, 어려운 일을 무사히 해결하는 사람을 의미하는 사자성어는?",목표달성,자기합리화,목표달성,극기복례,극기복례,"극기복례는 "자기 극복의 정신으로 성취를 이루는 것"을 의미합니다."
318,4,"강하고 약한 것을 비교하는 것을 의미하는 사자성어는?",호시탐탐,좌불안석,"하늘을 나는 새",풍문,호시탐탐,"호시탐탐은 "기회를 노리고 있는 상태"를 의미합니다."
319,4,"어떠한 일이 일어날 가능성에 대해 신중하게 생각하며 준비하는 것을 의미하는 사자성어는?",화룡점정,호시탐탐,순망치한,불철주야,호시탐탐,"호시탐탐은 "기회를 노리고 있는 상태"를 의미합니다."
320,4,"큰 어려움 없이 일의 진행이 순조롭게 이루어지는 상태를 뜻하는 사자성어는?",일사천리,"천리길도 한 걸음부터",동문서답,우공이산,일사천리,"일사천리는 "모든 일이 잘 되어 가는 상태"를 의미합니다."
321,4,"어려운 일을 해결하기 위해 여러 번 시도하며 포기하지 않는 상태를 의미하는 사자성어는?",호시탐탐,극기복례,꾸준히,여유만만,극기복례,"극기복례는 "자기 극복의 정신으로 성취를 이루는 것"을 의미합니다."
322,4,"자신의 잘못을 고백하고 반성하는 사자성어는?",자화자찬,자기합리화,적반하장,반성하라,자기합리화,"자기합리화는 "자신의 잘못을 고백하는 것"을 의미합니다."
323,4,"어떤 일을 함에 있어 상황을 깊이 이해하고 신중히 고려하는 태도를 의미하는 사자성어는?",철두철미,견마지로,소탐대실,선견지명,철두철미,"철두철미는 "일을 매우 철저히 해나가는 것"을 의미합니다."
324,4,"어떤 일의 방향을 잡고 목표를 달성하는 것이 중요한 상태를 의미하는 사자성어는?",순망치한,사상누각,사필귀정,대기만성,사필귀정,"사필귀정은 "모든 일이 결국 올바르게 마무리된다는 의미"를 가지고 있습니다."
325,4,"매우 어려운 상황을 극복하려는 노력을 의미하는 사자성어는?",우공이산,호시탐탐,불철주야,단기지계,우공이산,"우공이산은 "어려운 일을 꾸준히 해결하려는 노력"을 의미합니다."
326,4,"실패하거나 어려운 일을 겪고 다시 일어서는 모습을 나타내는 사자성어는?",우공이산,좌불안석,도전,고군분투,고군분투,"고군분투는 "어려운 상황에서 최선을 다해 노력하는 모습"을 의미합니다."
327,4,"이미 지나간 일을 되돌릴 수 없음을 나타내는 사자성어는?","과거로 가라",강호지책,회자정리,과유불급,과유불급,"과유불급은 "한계나 과욕은 금물"이라는 의미로 과도함은 좋지 않다는 뜻입니다."
328,4,"상황을 빠르게 파악하고 행동하는 것을 의미하는 사자성어는?",화룡점정,호시탐탐,지피지기,수범,호시탐탐,"호시탐탐은 "기회를 노리고 있는 상태"를 의미합니다."
329,4,"무리한 일을 하지 않고 지나치게 안전한 선택을 하는 상태를 의미하는 사자성어는?",구사일생,자화자찬,안전판,사상누각,안전판,"안전판은 "위험을 피하려 지나치게 안전하게만 선택하는 상태"를 의미합니다."
330,4,"어려운 상황에서도 끝까지 포기하지 않고 끈질기게 노력하는 사람을 의미하는 사자성어는?",호시탐탐,좌불안석,절차탁마,일사천리,절차탁마,"절차탁마는 "매우 어려운 상황에서 꾸준히 노력하는 것"을 의미합니다."
331,4,"유유자적한 상태로, 특별히 할 일이 없이 편하게 지내는 모습을 뜻하는 사자성어는?",유유자적,무위자연,호시탐탐,죽마고우,유유자적,"유유자적은 "특별히 할 일이 없이 편안하게 지내는 상태"를 의미합니다."
332,4,"다른 사람과의 경쟁에서 매우 뛰어난 성과를 내는 사람을 의미하는 사자성어는?",고군분투,일사천리,수훈갑,백전백승,백전백승,"백전백승은 "모든 경쟁에서 승리하는 상태"를 의미합니다."
333,4,"원하는 것을 얻기 위해서 노력하는 자세를 뜻하는 사자성어는?",구사일생,성공기회,"불굴의 의지",불철주야,불철주야,"불철주야는 "어떠한 일이든 끊임없이 노력하는 것"을 의미합니다."
334,4,"너무 쉬운 일에 지나치게 많은 시간을 투자하는 것을 의미하는 사자성어는?",소탐대실,여유만만,선견지명,"천리길도 한 걸음부터",소탐대실,"소탐대실은 "작은 것을 너무 아끼려다가 큰 것을 잃는 상황"을 의미합니다."
335,4,"자기 이익을 위해서 다른 사람을 속이거나 이용하는 행동을 뜻하는 사자성어는?",배은망덕,사기성,독배,"등잔 밑이 어둡다",배은망덕,"배은망덕은 "남에게 은혜를 입고도 그 은혜를 저버리는 행동"을 의미합니다."
336,4,"자기 자신의 힘으로 일을 처리하고 그 결과를 책임지는 태도를 의미하는 사자성어는?",자기합리화,일사천리,자업자득,목표달성,자업자득,"자업자득은 "자기 자신의 행동에 대한 결과를 책임지는 상태"를 의미합니다."
337,4,"큰 일을 맡아서 처리하고 있는 상태를 의미하는 사자성어는?",자기합리화,한계돌파,"한 치의 오차도 없다",절차탁마,절차탁마,"절차탁마는 "매우 어려운 상황에서 꾸준히 노력하는 것"을 의미합니다."
338,4,"어떠한 일이 잘못되거나 실패했을 때, 그 원인을 다른 사람에게 돌리는 태도를 의미하는 사자성어는?",사기성,책임회피,적반하장,자화자찬,적반하장,"적반하장은 "자신의 잘못을 인정하지 않고 남에게 돌리는 태도"를 의미합니다."
339,4,"현재의 어려움 속에서도 결국에는 이길 것이라는 믿음을 가지고 힘을 내는 태도를 의미하는 사자성어는?",호시탐탐,절차탁마,"물리적 저항",대기만성,대기만성,"대기만성은 "긴 시간 동안 준비하여 결국 성공을 이루는 것"을 의미합니다."
340,4,"큰 계획을 세우고 그것을 실천하려는 의지를 의미하는 사자성어는?",대기만성,"시작이 반이다",백전백승,"꾸준히 나아가라",대기만성,"대기만성은 "긴 시간 동안 준비하여 결국 성공을 이루는 것"을 의미합니다."
341,4,"무엇이든 처음 시작할 때 매우 어려운 점을 의미하는 사자성어는?",일사천리,"천리길도 한 걸음부터",화룡점정,"일단 시작이 중요하다","천리길도 한 걸음부터","천리길도 한 걸음부터는 "긴 여정도 첫걸음부터 시작된다"는 뜻으로, 시작이 중요함을 의미합니다."
342,4,"진실로 중요하고 근본적인 것을 추구하려는 태도를 의미하는 사자성어는?","근본부터 시작하다",유유자적,소탐대실,"중요한 것을 추구하다",소탐대실,"소탐대실은 "작은 것에 집착하다가 큰 것을 놓치는 상황"을 의미합니다."
343,4,"꾸준히 수련하거나 노력해서 잘 해내는 모습을 의미하는 사자성어는?",죽마고우,오상고금,선견지명,철두철미,철두철미,"철두철미는 "일을 매우 철저히 해나가는 것"을 의미합니다."
344,4,"복잡한 문제를 단순화하여 해결할 때 쓰는 사자성어는?",정확하게,일사천리,대기만성,"천리길도 한 걸음부터",일사천리,"일사천리는 "일이 매우 순조롭게 진행되는 상태"를 의미합니다."
345,4,"무엇을 시작할 때 끝을 미리 알 수 없다는 점을 강조하는 사자성어는?",선견지명,"시작이 반이다",반성하라,부지런히,"시작이 반이다","시작이 반이다는 "무엇이든 시작이 중요하다"는 의미입니다."
346,4,"자신의 위치나 상황을 잘 파악하고 그에 맞는 행동을 하는 것을 의미하는 사자성어는?",지피지기,선견지명,경거망동,절차탁마,지피지기,"지피지기는 "자신과 상황을 잘 파악하여 행동하는 것"을 의미합니다."
347,4,"비유적으로 어려운 상황을 고통 없이 해결하는 방법을 의미하는 사자성어는?","천리길도 한 걸음부터",사필귀정,"조급함은 실패의 원인",한발자국씩,사필귀정,"사필귀정은 "모든 일이 결국 올바르게 마무리된다는 의미"를 가지고 있습니다."
348,4,"잘못된 일이나 실수를 바로잡아 나가는 태도를 의미하는 사자성어는?",자기합리화,"시작이 반이다",자화자찬,자기성찰,자기성찰,"자기성찰은 "자신을 돌아보며 잘못을 고치는 것"을 의미합니다."
349,4,"어려운 상황에서도 최선을 다하고 나서 기다리는 상태를 의미하는 사자성어는?",대기만성,불철주야,백전백승,호시탐탐,불철주야,"불철주야는 "어떠한 일이든 끊임없이 노력하는 것"을 의미합니다."
350,4,"결국에는 모든 일이 잘 풀리고 이루어진다는 의미를 담고 있는 사자성어는?",사필귀정,"천리길도 한 걸음부터",순망치한,불철주야,사필귀정,"사필귀정은 "모든 일이 결국 올바르게 마무리된다는 의미"를 가지고 있습니다."
401,5,"한국의 수도는?",서울,부산,대구,광주,서울,"서울은 대한민국의 수도로, 정치, 경제, 문화의 중심지입니다."
402,5,"일본의 수도는?",서울,도쿄,오사카,교토,도쿄,"도쿄는 일본의 수도로, 일본의 정치와 경제의 중심지입니다."
403,5,"프랑스의 수도는?",파리,마르세유,리옹,도빌,파리,"파리는 프랑스의 수도이자, 세계적인 문화와 예술의 중심지입니다."
404,5,"영국의 수도는?",런던,맨체스터,리버풀,버밍엄,런던,"런던은 영국의 수도이며, 세계적인 금융 및 문화의 중심입니다."
405,5,"미국의 수도는?",뉴욕,"워싱턴 D.C.",로스앤젤레스,시카고,"워싱턴 D.C.","워싱턴 D.C.는 미국의 수도로, 미국 정부의 중심지입니다."
406,5,"독일의 수도는?",베를린,프랑크푸르트,뮌헨,함부르크,베를린,"베를린은 독일의 수도이자, 정치, 문화, 역사적 중심지입니다."
407,5,"중국의 수도는?",베이징,상하이,광저우,홍콩,베이징,"베이징은 중국의 수도로, 중국의 정치, 경제의 중심지입니다."
408,5,"이탈리아의 수도는?",로마,밀라노,베네치아,피렌체,로마,"로마는 이탈리아의 수도이자, 역사적 유산이 풍부한 도시입니다."
409,5,"스페인의 수도는?",마드리드,바르셀로나,세비야,발렌시아,마드리드,"마드리드는 스페인의 수도로, 문화와 예술의 중심지입니다."
410,5,"캐나다의 수도는?",토론토,몬트리올,밴쿠버,오타와,오타와,"오타와는 캐나다의 수도로, 정부의 중심지입니다."
411,5,"호주의 수도는?",시드니,멜버른,캔버라,브리즈번,캔버라,"캔버라는 호주의 수도로, 정치적 중심지입니다."
412,5,"러시아의 수도는?",상트페테르부르크,모스크바,노브고로드,예카테린부르크,모스크바,"모스크바는 러시아의 수도이며, 역사적, 정치적 중심지입니다."
413,5,"브라질의 수도는?",상파울로,리우데자네이루,브라질리아,포르탈레자,브라질리아,"브라질리아는 브라질의 수도로, 1960년에 새로운 수도로 지정되었습니다."
414,5,"멕시코의 수도는?",멕시코시티,몬테레이,과달라하라,칸쿤,멕시코시티,"멕시코시티는 멕시코의 수도로, 정치, 문화의 중심지입니다."
415,5,"이집트의 수도는?",카이로,알렉산드리아,기자,루크소르,카이로,"카이로는 이집트의 수도이며, 역사적 유적과 문화의 중심지입니다."
416,5,"아르헨티나의 수도는?",부에노스아이레스,로사리오,코르도바,멘도사,부에노스아이레스,"부에노스아이레스는 아르헨티나의 수도이자, 경제와 문화의 중심지입니다."
417,5,"대한민국의 수도는?",서울,부산,대구,광주,서울,"서울은 대한민국의 수도이며, 정치, 경제, 문화의 중심지입니다."
418,5,"터키의 수도는?",이스탄불,안카라,이스탄불,알라냐,안카라,"안카라는 터키의 수도로, 정치적 중심지입니다."
419,5,"사우디아라비아의 수도는?",리야드,제다,메카,메디나,리야드,"리야드는 사우디아라비아의 수도로, 정치, 경제의 중심지입니다."
420,5,"그리스의 수도는?",아테네,테살로니키,헤라클리온,라르나카,아테네,"아테네는 그리스의 수도이자, 고대 문명의 중심지입니다."
421,5,"이란의 수도는?",테헤란,이스파한,마슈하드,셰라즈,테헤란,"테헤란은 이란의 수도이며, 정치, 경제의 중심지입니다."
422,5,"영국의 수도는?",런던,맨체스터,버밍햄,글래스고,런던,"런던은 영국의 수도이며, 금융과 문화의 중심지입니다."
423,5,"프랑스의 수도는?",파리,리옹,마르세유,니스,파리,"파리는 프랑스의 수도이며, 세계적인 예술과 패션의 중심지입니다."
424,5,"이탈리아의 수도는?",로마,밀라노,베네치아,피렌체,로마,"로마는 이탈리아의 수도이며, 고대 문명의 유산이 많은 도시입니다."
425,5,"미국의 수도는?",뉴욕,"워싱턴 D.C.",로스앤젤레스,시카고,"워싱턴 D.C.","워싱턴 D.C.는 미국의 수도로, 국가 정부의 중심지입니다."
426,5,"독일의 수도는?",베를린,프랑크푸르트,뮌헨,함부르크,베를린,"베를린은 독일의 수도이며, 정치, 문화적 중심지입니다."
427,5,"중국의 수도는?",베이징,상하이,광저우,홍콩,베이징,"베이징은 중국의 수도로, 정치적 중심지입니다."
428,5,"일본의 수도는?",서울,도쿄,오사카,교토,도쿄,"도쿄는 일본의 수도로, 일본의 정치와 경제 중심지입니다."
429,5,"캐나다의 수도는?",토론토,몬트리올,밴쿠버,오타와,오타와,"오타와는 캐나다의 수도이며, 정부의 중심지입니다."
430,5,"호주의 수도는?",시드니,멜버른,캔버라,브리즈번,캔버라,"캔버라는 호주의 수도로, 정치의 중심지입니다."
431,5,"브라질의 수도는?",리우데자네이루,상파울로,브라질리아,포르탈레자,브라질리아,"브라질리아는 브라질의 수도입니다."
432,5,"아르헨티나의 수도는?",부에노스아이레스,로사리오,코르도바,멘도사,부에노스아이레스,"부에노스아이레스는 아르헨티나의 수도입니다."
433,5,"이집트의 수도는?",카이로,알렉산드리아,기자,루크소르,카이로,"카이로는 이집트의 수도입니다."
434,5,"러시아의 수도는?",상트페테르부르크,모스크바,노브고로드,예카테린부르크,모스크바,"모스크바는 러시아의 수도입니다."
435,5,"터키의 수도는?",이스탄불,안카라,이스탄불,알라냐,안카라,"안카라는 터키의 수도입니다."
436,5,"사우디아라비아의 수도는?",리야드,제다,메카,메디나,리야드,"리야드는 사우디아라비아의 수도입니다."
437,5,"그리스의 수도는?",아테네,테살로니키,헤라클리온,라르나카,아테네,"아테네는 그리스의 수도입니다."
438,5,"이란의 수도는?",테헤란,이스파한,마슈하드,셰라즈,테헤란,"테헤란은 이란의 수도입니다."
439,5,"핀란드의 수도는?",헬싱키,타르투,핀란드시티,오울루,헬싱키,"헬싱키는 핀란드의 수도입니다."
440,5,"스웨덴의 수도는?",스톡홀름,고텐버그,말뫼,헬싱키,스톡홀름,"스톡홀름은 스웨덴의 수도입니다."
441,5,"뉴질랜드의 수도는?",웰링턴,오클랜드,크라이스트처치,해밀턴,웰링턴,"웰링턴은 뉴질랜드의 수도입니다."
442,5,"네덜란드의 수도는?",암스테르담,로테르담,헤이그,에인트호번,암스테르담,"암스테르담은 네덜란드의 수도입니다."
443,5,"벨기에의 수도는?",브뤼셀,안트워프,겐트,브뤼헤,브뤼셀,"브뤼셀은 벨기에의 수도이며, 유럽연합의 중심지입니다."
444,5,"덴마크의 수도는?",코펜하겐,오르후스,올보르,알루스,코펜하겐,"코펜하겐은 덴마크의 수도입니다."
445,5,"핀란드의 수도는?",헬싱키,타르투,핀란드시티,오울루,헬싱키,"헬싱키는 핀란드의 수도입니다."
446,5,"루마니아의 수도는?",부쿠레슈티,클루지나포카,야시,시비우,부쿠레슈티,"부쿠레슈티는 루마니아의 수도입니다."
447,5,"이스라엘의 수도는?",텔아비브,예루살렘,하이파,베이르루트,예루살렘,"예루살렘은 이스라엘의 수도입니다."
448,5,"아이슬란드의 수도는?",레이캬비크,아쿠레리,호픈,레이디아르헤피르,레이캬비크,"레이캬비크는 아이슬란드의 수도입니다."
449,5,"남아프리카공화국의 수도는?",케이프타운,프리토리아,더반,요하네스버그,프리토리아,"프리토리아는 남아프리카공화국의 수도 중 하나입니다."
450,5,"몽골의 수도는?",울란바토르,다르한,에르덴트,오르혼,울란바토르,"울란바토르는 몽골의 수도입니다."
501,6,"레오나르도 다빈치가 그린 가장 유명한 초상화는?","별이 빛나는 밤",모나리자,"최후의 만찬","이카로스의 추락",모나리자,"모나리자는 다빈치의 대표작으로 신비로운 미소와 독특한 분위기로 유명합니다."
502,6,"빈센트 반 고흐의 대표적인 작품은?","아테네 학당","별이 빛나는 밤","진주 귀걸이를 한 소녀","최후의 심판","별이 빛나는 밤","고흐의 "별이 빛나는 밤"은 강렬한 색채와 독특한 붓터치가 특징입니다."
503,6,"미켈란젤로가 그린 유명한 천장화가 있는 곳은?","루브르 박물관","바티칸 시스티나 성당","에르미타주 박물관","메트로폴리탄 미술관","바티칸 시스티나 성당","시스티나 성당 천장화에는 "천지창조" 등 미켈란젤로의 걸작이 포함되어 있습니다."
504,6,"클로드 모네가 창시한 미술 사조는?",초현실주의,입체파,인상주의,바로크,인상주의,""인상, 해돋이"에서 유래한 인상주의는 빛과 색의 순간적인 변화를 포착하는 것이 특징입니다."
505,6,"파블로 피카소가 창시한 미술 사조는?",다다이즘,입체파,초현실주의,고전주의,입체파,"피카소는 입체파의 창시자로, "아비뇽의 처녀들"이 대표적인 작품입니다."
506,6,"렘브란트가 주로 그린 그림의 장르는?",초상화,풍경화,정물화,추상화,초상화,"렘브란트는 사실적인 초상화와 명암법 활용으로 유명합니다."
507,6,"스페인의 대표적인 화가로 "게르니카"를 그린 사람은?","프란시스코 고야","살바도르 달리","파블로 피카소","디에고 벨라스케스","파블로 피카소",""게르니카"는 스페인 내전 당시 게르니카가 폭격당한 사건을 그린 작품입니다."
508,6,"초현실주의 화가로 "기억의 지속"을 그린 사람은?","르네 마그리트","살바도르 달리","마르셀 뒤샹","프리다 칼로","살바도르 달리",""기억의 지속"은 녹아내리는 시계로 유명한 달리의 초현실주의 작품입니다."
509,6,"조르주 쇠라가 창시한 점묘법 기법이 사용된 작품은?",""별이 빛나는 밤"",""그랑자트 섬의 일요일 오후"",""모나리자"",""절규"",""그랑자트 섬의 일요일 오후"","조르주 쇠라는 색채를 작은 점들로 표현하는 점묘법을 개발하였습니다."
510,6,"르네상스 시대의 대표적인 조각가로 "다비드상"을 만든 사람은?",미켈란젤로,도나텔로,로댕,베르니니,미켈란젤로,"미켈란젤로는 "다비드상"과 "피에타"를 제작한 르네상스 시대의 대표적인 조각가입니다."
511,6,"앤디 워홀이 활동했던 미술 사조는?",인상주의,초현실주의,팝아트,입체파,팝아트,"앤디 워홀은 "캠벨 수프 깡통"과 "마릴린 먼로" 등의 작품을 통해 팝아트를 대표하는 화가가 되었습니다."
512,6,""비너스의 탄생"을 그린 화가는?","산드로 보티첼리","레오나르도 다빈치",라파엘로,티치아노,"산드로 보티첼리",""비너스의 탄생"은 르네상스 시대의 대표작으로, 아름다운 여신 비너스를 묘사한 작품입니다."
513,6,"프리다 칼로는 어느 나라 출신의 화가인가?",스페인,이탈리아,멕시코,독일,멕시코,"프리다 칼로는 멕시코 출신 화가로, 강렬한 색채와 자전적 요소가 담긴 작품들로 유명합니다."
514,6,"구스타프 클림트의 대표적인 작품은?",절규,키스,"별이 빛나는 밤",천지창조,키스,"구스타프 클림트의 "키스"는 황금빛 색조와 화려한 장식적인 스타일이 특징입니다."
515,6,"야수파(Fauvism)의 대표적인 화가는?","앙리 마티스","파블로 피카소","클로드 모네","빈센트 반 고흐","앙리 마티스","앙리 마티스는 강렬한 색채와 대담한 표현을 특징으로 하는 야수파의 대표적인 화가입니다."
516,6,"입체파(Cubism)를 공동 창시한 화가는?","파블로 피카소와 조르주 브라크","빈센트 반 고흐와 폴 고갱","클로드 모네와 에두아르 마네","살바도르 달리와 르네 마그리트","파블로 피카소와 조르주 브라크","입체파는 피카소와 브라크가 함께 창시한 미술 운동으로, 사물을 다양한 각도에서 표현하는 것이 특징입니다."
517,6,"로댕의 대표적인 조각 작품은?","생각하는 사람",다비드상,피에타,"영원의 문","생각하는 사람","오귀스트 로댕의 "생각하는 사람"은 철학적 깊이를 담은 대표적인 조각 작품입니다."
518,6,"에드워드 호퍼의 대표적인 작품은?","밤을 지새우는 사람들",절규,"별이 빛나는 밤","그랑자트 섬의 일요일 오후","밤을 지새우는 사람들","에드워드 호퍼의 "밤을 지새우는 사람들"은 현대 도시인의 고독을 표현한 작품입니다."
519,6,"프랑스 인상주의 화가 중 "여인의 목욕"을 그린 사람은?","에드가 드가","클로드 모네","오귀스트 르누아르","폴 세잔","에드가 드가","에드가 드가는 발레리나와 여성의 일상적인 모습을 많이 그린 화가입니다."
520,6,"이탈리아 르네상스 시대를 대표하는 건축물은?","성 베드로 대성당",에펠탑,"피사의 사탑",콜로세움,"성 베드로 대성당","성 베드로 대성당은 르네상스 건축의 대표적인 작품으로 미켈란젤로가 돔 설계를 맡았습니다."
521,6,"클로드 모네의 대표작인 "수련" 연작은 어디에서 영감을 받았는가?","자신의 정원","파리 시내",바다,"로마의 유적지","자신의 정원","모네는 프랑스 지베르니에 위치한 자신의 정원에서 수련 연작을 그렸습니다."
522,6,"19세기 후반부터 20세기 초반까지 활동한 아르누보 양식의 대표적인 화가는?","알폰스 무하","앙리 마티스","파블로 피카소","에드가 드가","알폰스 무하","체코 출신의 알폰스 무하는 화려한 곡선과 장식적인 요소가 특징인 아르누보 양식의 대표적인 화가입니다."
523,6,"네덜란드 출신으로, 기하학적 구성과 원색을 사용한 "구성" 연작을 그린 화가는?","피트 몬드리안","빈센트 반 고흐","클로드 모네","살바도르 달리","피트 몬드리안","피트 몬드리안은 기하학적인 디자인과 빨강, 노랑, 파랑 등 원색을 이용한 구성주의 작품으로 유명합니다."
524,6,"미술 작품 "절규"의 작가는?","에드바르트 뭉크","클로드 모네","빈센트 반 고흐","구스타프 클림트","에드바르트 뭉크",""절규"는 인간의 불안과 공포를 강렬한 색감과 형태로 표현한 작품입니다."
525,6,"일본 판화에서 서양 인상파 화가들에게 영향을 준 화가는?","가쓰시카 호쿠사이",히로시게,고야,"오카다 슈세이","가쓰시카 호쿠사이","호쿠사이의 "후지산 36경" 중 "가나가와의 큰 파도 아래"는 서양 화가들에게 큰 영향을 주었습니다."
526,6,""황금 비율"을 작품에 자주 사용한 화가는?","레오나르도 다빈치",미켈란젤로,"빈센트 반 고흐","파블로 피카소","레오나르도 다빈치","다빈치는 "황금비율"을 사용하여 인체와 자연의 조화를 연구했습니다."
527,6,"초현실주의 화가 르네 마그리트의 대표작은?","이미지의 배반","기억의 지속","아비뇽의 처녀들",절규,"이미지의 배반",""이미지의 배반"은 파이프 그림 아래에 "이것은 파이프가 아니다"라는 문구가 적혀 있는 작품입니다."
528,6,""별이 빛나는 밤"이 소장된 미술관은?","뉴욕 현대미술관(MoMA)","루브르 박물관","프라도 미술관","테이트 모던","뉴욕 현대미술관(MoMA)",""별이 빛나는 밤"은 뉴욕 현대미술관(MoMA)에 소장되어 있습니다."
